filename,formula,BB,BCo,BFe,BMo,BNi,BO,CoCo,CoFe,CoMo,CoNi,CoO,FeFe,FeMo,FeNi,FeO,MoMo,MoNi,MoO,NiNi,NiO,OO
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-1,B12Co12Fe12Mo12Ni12O60,17,33,26,25,33,161,11,29,30,40,158,17,43,31,149,21,25,147,13,157,394
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-2,B12Co12Fe12Mo12Ni12O60,17,32,31,40,31,144,10,31,31,33,165,13,39,30,155,13,24,152,18,158,393
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-3,B12Co12Fe12Mo12Ni12O60,17,34,25,35,34,150,13,25,31,32,164,11,31,36,173,10,37,158,19,135,390
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-4,B12Co12Fe12Mo12Ni12O60,11,24,35,22,34,175,18,29,39,30,154,18,26,33,153,21,28,155,15,157,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-5,B12Co12Fe12Mo12Ni12O60,17,38,32,42,23,143,10,28,25,36,165,16,37,29,154,11,30,156,15,164,389
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-6,B12Co12Fe12Mo12Ni12O60,14,21,33,35,30,165,23,25,28,35,157,17,34,29,157,15,35,150,16,151,390
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-7,B12Co12Fe12Mo12Ni12O60,21,28,23,31,28,160,13,26,30,33,169,15,38,35,160,13,34,153,10,162,378
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-8,B12Co12Fe12Mo12Ni12O60,15,33,36,24,37,152,11,32,23,38,164,17,27,34,149,14,35,175,13,142,389
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-9,B12Co12Fe12Mo12Ni12O60,15,28,33,28,39,154,16,28,28,33,163,11,33,32,164,13,32,165,13,150,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-10,B12Co12Fe12Mo12Ni12O60,15,30,28,31,29,164,13,37,33,28,158,11,40,30,155,13,24,158,17,167,379
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-11,B12Co12Fe12Mo12Ni12O60,16,30,24,30,35,161,23,34,36,24,142,13,29,37,162,10,34,163,16,150,391
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-12,B12Co12Fe12Mo12Ni12O60,18,35,20,33,38,150,20,24,35,29,149,20,31,29,168,13,26,161,20,150,391
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-13,B12Co12Fe12Mo12Ni12O60,16,29,21,38,35,157,9,38,28,33,166,20,24,41,148,14,28,166,12,151,386
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-14,B12Co12Fe12Mo12Ni12O60,11,34,32,34,27,163,13,24,33,35,160,18,31,33,156,8,34,164,18,147,385
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-15,B12Co12Fe12Mo12Ni12O60,10,40,39,26,24,163,16,29,26,24,161,10,32,35,157,19,37,153,15,162,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-16,B12Co12Fe12Mo12Ni12O60,11,37,35,34,38,146,20,25,30,28,152,16,33,35,152,13,35,154,13,150,403
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-17,B12Co12Fe12Mo12Ni12O60,12,31,37,36,30,154,17,31,28,25,163,18,26,35,147,18,32,154,13,164,389
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-18,B12Co12Fe12Mo12Ni12O60,16,23,30,30,27,170,24,37,35,19,150,16,35,26,152,12,34,154,18,170,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-19,B12Co12Fe12Mo12Ni12O60,12,31,36,36,20,165,18,27,32,32,154,12,26,41,158,13,37,155,16,150,389
